#,Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
406,"THB 1,293.44 - THB 1,296.63",6,"1,294.70",0.38,6,"1,294.70",63.87,100.00%
407,"THB 1,296.63 - THB 1,299.82",7,"1,298.72",0.82,7,"1,298.72",117.8,100.00%
408,"THB 1,299.82 - THB 1,303.02",2,"1,300.67",0.2,2,"1,300.67",100.89,100.00%
409,"THB 1,303.02 - THB 1,306.21",1,"1,304.04",0.06,1,"1,304.04",63.87,100.00%
410,"THB 1,306.21 - THB 1,309.40",7,"1,308.02",1.1,7,"1,308.02",157.1,100.00%
411,"THB 1,309.40 - THB 1,312.60",7,"1,311.32",0.64,7,"1,311.32",91.41,100.00%
412,"THB 1,312.60 - THB 1,315.79",2,"1,314.13",0.13,2,"1,314.13",63.87,100.00%
413,"THB 1,315.79 - THB 1,318.99",6,"1,317.75",0.32,6,"1,317.75",53.27,100.00%
414,"THB 1,318.99 - THB 1,322.18",10,"1,320.33",1.25,10,"1,320.33",124.86,100.00%
415,"THB 1,322.18 - THB 1,325.37",5,"1,324.20",0.85,5,"1,324.20",169.24,100.00%
416,"THB 1,325.37 - THB 1,328.57",3,"1,327.40",0.19,3,"1,327.40",63.87,100.00%
417,"THB 1,328.57 - THB 1,331.76",7,"1,330.26",0.45,7,"1,330.26",63.87,100.00%
418,"THB 1,331.76 - THB 1,334.95",2,"1,332.59",0.13,2,"1,332.59",63.87,100.00%
419,"THB 1,334.95 - THB 1,338.15",4,"1,337.05",0.56,4,"1,337.05",140.71,100.00%
420,"THB 1,338.15 - THB 1,341.34",4,"1,339.46",0.8,4,"1,339.46",199.09,100.00%
421,"THB 1,341.34 - THB 1,344.54",2,"1,344.01",0.13,2,"1,344.01",63.87,100.00%
422,"THB 1,344.54 - THB 1,347.73",3,"1,346.95",0.66,3,"1,346.95",218.7,100.00%
423,"THB 1,347.73 - THB 1,350.92",6,"1,348.71",0.43,6,"1,348.71",72.05,100.00%
424,"THB 1,350.92 - THB 1,354.12",4,"1,352.48",0.26,4,"1,352.48",63.87,100.00%
425,"THB 1,354.12 - THB 1,357.31",4,"1,355.63",0.19,4,"1,355.63",47.91,100.00%
426,"THB 1,357.31 - THB 1,360.50",5,"1,358.21",1.76,5,"1,358.21",351.46,100.00%
427,"THB 1,360.50 - THB 1,363.70",2,"1,362.72",0.13,2,"1,362.72",63.87,100.00%
428,"THB 1,363.70 - THB 1,366.89",2,"1,365.10",0.13,2,"1,365.10",63.87,100.00%
429,"THB 1,366.89 - THB 1,370.08",6,"1,368.52",0.97,6,"1,368.52",162.09,100.00%
430,"THB 1,370.08 - THB 1,373.28",5,"1,371.03",0.26,5,"1,371.03",51.15,100.00%
431,"THB 1,373.28 - THB 1,376.47",2,"1,375.47",0.13,2,"1,375.47",63.87,100.00%
432,"THB 1,376.47 - THB 1,379.67",4,"1,378.11",0.55,4,"1,378.11",138.74,100.00%
433,"THB 1,379.67 - THB 1,382.86",5,"1,381.96",0.26,5,"1,381.96",51.1,100.00%
434,"THB 1,382.86 - THB 1,386.05",4,"1,384.94",0.19,4,"1,384.94",47.91,100.00%
435,"THB 1,386.05 - THB 1,389.25",8,"1,388.07",1.04,8,"1,388.07",130.48,100.00%
436,"THB 1,389.25 - THB 1,392.44",7,"1,390.43",0.64,7,"1,390.43",91.21,100.00%
437,"THB 1,392.44 - THB 1,395.63",2,"1,393.24",0.13,2,"1,393.24",63.87,100.00%
438,"THB 1,395.63 - THB 1,398.83",5,"1,396.85",0.26,5,"1,396.85",51.1,100.00%
439,"THB 1,398.83 - THB 1,402.02",6,"1,400.86",0.32,6,"1,400.86",53.23,100.00%
440,"THB 1,402.02 - THB 1,405.22",3,"1,403.47",0.46,3,"1,403.47",153.49,100.00%
441,"THB 1,405.22 - THB 1,408.41",1,"1,408.03",0.06,1,"1,408.03",63.87,100.00%
442,"THB 1,408.41 - THB 1,411.60",1,"1,409.49",0.06,1,"1,409.49",63.87,100.00%
443,"THB 1,411.60 - THB 1,414.80",5,"1,413.03",0.32,5,"1,413.03",63.87,100.00%
444,"THB 1,414.80 - THB 1,417.99",2,"1,415.79",0.13,2,"1,415.79",63.87,100.00%
445,"THB 1,417.99 - THB 1,421.18",1,"1,419.39",0.06,1,"1,419.39",63.87,100.00%
446,"THB 1,421.18 - THB 1,424.38",4,"1,423.91",0.26,4,"1,423.91",63.87,100.00%
447,"THB 1,424.38 - THB 1,427.57",6,"1,426.12",0.26,6,"1,426.12",42.58,100.00%
448,"THB 1,427.57 - THB 1,430.76",3,"1,428.31",0.19,3,"1,428.31",63.87,100.00%
449,"THB 1,430.76 - THB 1,433.96",2,"1,432.41",0.13,2,"1,432.41",63.87,100.00%
450,"THB 1,433.96 - THB 1,437.15",2,"1,434.85",0.13,2,"1,434.85",63.87,100.00%
451,"THB 1,437.15 - THB 1,440.35",6,"1,438.53",0.32,6,"1,438.53",53.23,100.00%
452,"THB 1,440.35 - THB 1,443.54",2,"1,442.07",0.13,2,"1,442.07",63.87,100.00%
453,"THB 1,443.54 - THB 1,446.73",1,"1,445.52",0.06,1,"1,445.52",63.87,100.00%
454,"THB 1,446.73 - THB 1,449.93",4,"1,449.03",0.53,4,"1,449.03",132.07,100.00%
455,"THB 1,449.93 - THB 1,453.12",1,"1,452.99",0.06,1,"1,452.99",63.87,100.00%
456,"THB 1,453.12 - THB 1,456.31",2,"1,454.00",0.14,2,"1,454.00",68.86,100.00%
457,"THB 1,456.31 - THB 1,459.51",2,"1,457.08",0.13,2,"1,457.08",63.87,100.00%
458,"THB 1,459.51 - THB 1,462.70",4,"1,461.15",0.19,4,"1,461.15",47.91,100.00%
459,"THB 1,462.70 - THB 1,465.89",1,"1,465.00",0.4,1,"1,465.00",402.91,100.00%
460,"THB 1,465.89 - THB 1,469.09",2,"1,467.46",0.67,2,"1,467.46",333.23,100.00%
461,"THB 1,469.09 - THB 1,472.28",2,"1,470.96",0.13,2,"1,470.96",63.87,100.00%
462,"THB 1,472.28 - THB 1,475.48",3,"1,473.95",0.19,3,"1,473.95",63.87,100.00%
463,"THB 1,475.48 - THB 1,478.67",4,"1,477.29",0.72,4,"1,477.29",179.23,100.00%
464,"THB 1,478.67 - THB 1,481.86",5,"1,480.94",0.33,5,"1,480.94",66.79,100.00%
465,"THB 1,481.86 - THB 1,485.06",5,"1,482.82",0.26,5,"1,482.82",51.1,100.00%
466,"THB 1,485.06 - THB 1,488.25",4,"1,486.29",0.3,4,"1,486.29",75.5,100.00%
467,"THB 1,491.44 - THB 1,494.64",5,"1,493.14",0.26,5,"1,493.14",51.1,100.00%
468,"THB 1,494.64 - THB 1,497.83",7,"1,495.63",0.49,7,"1,495.63",70.33,100.00%
469,"THB 1,497.83 - THB 1,501.03",3,"1,499.30",0.19,3,"1,499.30",63.87,100.00%
470,"THB 1,504.22 - THB 1,507.41",2,"1,505.62",0.13,2,"1,505.62",63.87,100.00%
471,"THB 1,507.41 - THB 1,510.61",2,"1,507.96",0.64,2,"1,507.96",321.41,100.00%
472,"THB 1,510.61 - THB 1,513.80",3,"1,511.68",0.64,3,"1,511.68",212.91,100.00%
473,"THB 1,513.80 - THB 1,516.99",8,"1,515.69",0.38,8,"1,515.69",47.91,100.00%
474,"THB 1,516.99 - THB 1,520.19",3,"1,519.42",0.19,3,"1,519.42",63.87,100.00%
475,"THB 1,520.19 - THB 1,523.38",4,"1,521.98",0.61,4,"1,521.98",152.98,100.00%
476,"THB 1,523.38 - THB 1,526.57",12,"1,524.28",1.38,12,"1,524.28",115.21,100.00%
477,"THB 1,526.57 - THB 1,529.77",5,"1,527.35",0.61,5,"1,527.35",121.4,100.00%
478,"THB 1,529.77 - THB 1,532.96",1,"1,530.63",0.06,1,"1,530.63",63.87,100.00%
479,"THB 1,532.96 - THB 1,536.16",5,"1,534.39",0.26,5,"1,534.39",51.1,100.00%
480,"THB 1,536.16 - THB 1,539.35",11,"1,537.77",0.75,11,"1,537.77",68.35,100.00%
481,"THB 1,539.35 - THB 1,542.54",5,"1,541.29",0.26,5,"1,541.29",51.1,100.00%
482,"THB 1,545.74 - THB 1,548.93",1,"1,546.73",0.06,1,"1,546.73",63.87,100.00%
483,"THB 1,548.93 - THB 1,552.12",3,"1,550.10",0.19,3,"1,550.10",63.87,100.00%
484,"THB 1,552.12 - THB 1,555.32",4,"1,553.40",0.26,4,"1,553.40",63.87,100.00%
485,"THB 1,555.32 - THB 1,558.51",5,"1,557.41",0.87,5,"1,557.41",174.32,100.00%
486,"THB 1,558.51 - THB 1,561.70",5,"1,559.35",0.53,5,"1,559.35",105.31,100.00%
487,"THB 1,561.70 - THB 1,564.90",5,"1,563.05",0.63,5,"1,563.05",125.7,100.00%
488,"THB 1,564.90 - THB 1,568.09",1,"1,566.37",0.06,1,"1,566.37",63.87,100.00%
489,"THB 1,568.09 - THB 1,571.29",4,"1,569.94",0.26,4,"1,569.94",63.87,100.00%
490,"THB 1,571.29 - THB 1,574.48",3,"1,572.54",0.19,3,"1,572.54",63.87,100.00%
491,"THB 1,574.48 - THB 1,577.67",5,"1,576.29",0.32,5,"1,576.29",63.87,100.00%
492,"THB 1,577.67 - THB 1,580.87",3,"1,579.38",0.19,3,"1,579.38",63.87,100.00%
493,"THB 1,580.87 - THB 1,584.06",1,"1,581.92",0.06,1,"1,581.92",63.87,100.00%
494,"THB 1,584.06 - THB 1,587.25",18,"1,585.11",2.6,18,"1,585.11",144.25,100.00%
495,"THB 1,587.25 - THB 1,590.45",2,"1,589.33",0.63,2,"1,589.33",314.82,100.00%
496,"THB 1,590.45 - THB 1,593.64",8,"1,592.22",0.51,8,"1,592.22",63.87,100.00%
497,"THB 1,593.64 - THB 1,596.84",2,"1,595.38",0.13,2,"1,595.38",63.87,100.00%
498,"THB 1,596.84 - THB 1,600.03","3,246","2,551.95",373.19,"3,244","2,552.44",115.04,99.94%
