#,Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
238,THB 756.90 - THB 760.09,26,758.5,1.99,26,758.5,76.38,100.00%
239,THB 760.09 - THB 763.29,27,761.52,1.88,27,761.52,69.63,100.00%
240,THB 763.29 - THB 766.48,35,764.46,2.31,35,764.46,66.13,100.00%
241,THB 766.48 - THB 769.67,45,768.19,3.11,44,768.16,70.78,97.78%
242,THB 769.67 - THB 772.87,24,771.24,2.06,24,771.24,85.7,100.00%
243,THB 772.87 - THB 776.06,24,774.37,1.58,23,774.36,68.62,95.83%
244,THB 776.06 - THB 779.26,20,777.33,1.15,20,777.33,57.49,100.00%
245,THB 779.26 - THB 782.45,22,780.62,1.52,22,780.62,69.29,100.00%
246,THB 782.45 - THB 785.64,26,784.21,2.09,26,784.21,80.49,100.00%
247,THB 785.64 - THB 788.84,31,786.87,2.08,31,786.87,67.05,100.00%
248,THB 788.84 - THB 792.03,28,790.47,1.66,26,790.42,63.94,92.86%
249,THB 792.03 - THB 795.22,21,793.66,2.38,21,793.66,113.5,100.00%
250,THB 795.22 - THB 798.42,22,796.9,1.62,22,796.9,73.83,100.00%
251,THB 798.42 - THB 801.61,40,799.47,2.78,39,799.49,71.16,97.50%
252,THB 801.61 - THB 804.80,18,803.18,1.57,18,803.18,87.45,100.00%
253,THB 804.80 - THB 808.00,26,806.74,2.15,26,806.74,82.73,100.00%
254,THB 808.00 - THB 811.19,18,809.33,1.27,18,809.33,70.64,100.00%
255,THB 811.19 - THB 814.39,26,812.65,2.58,26,812.65,99.3,100.00%
256,THB 814.39 - THB 817.58,30,816.1,2.33,30,816.1,77.78,100.00%
257,THB 817.58 - THB 820.77,28,818.92,2.05,28,818.92,73.35,100.00%
258,THB 820.77 - THB 823.97,31,822.32,2.32,30,822.3,77.26,96.77%
259,THB 823.97 - THB 827.16,21,825.91,1.47,20,825.95,73.65,95.24%
260,THB 827.16 - THB 830.35,21,828.99,1.9,21,828.99,90.63,100.00%
261,THB 830.35 - THB 833.55,19,831.85,1.09,19,831.85,57.15,100.00%
262,THB 833.55 - THB 836.74,18,835.13,1.32,17,835.13,77.49,94.44%
263,THB 836.74 - THB 839.94,17,838.26,1.31,17,838.26,77.28,100.00%
264,THB 839.94 - THB 843.13,13,841.29,1.05,13,841.29,80.52,100.00%
265,THB 843.13 - THB 846.32,13,844.43,0.77,13,844.43,58.96,100.00%
266,THB 846.32 - THB 849.52,25,847.71,1.95,24,847.74,81.25,96.00%
267,THB 849.52 - THB 852.71,32,850.88,2.07,32,850.88,64.64,100.00%
268,THB 852.71 - THB 855.90,13,854.49,0.77,13,854.49,59.12,100.00%
269,THB 855.90 - THB 859.10,19,857.68,1.43,19,857.68,75.53,100.00%
270,THB 859.10 - THB 862.29,15,860.82,1.18,14,860.81,84.33,93.33%
271,THB 862.29 - THB 865.48,23,864.15,1.37,23,864.15,59.61,100.00%
272,THB 865.48 - THB 868.68,11,866.77,0.77,11,866.77,70.31,100.00%
273,THB 868.68 - THB 871.87,26,870.16,1.48,26,870.16,56.76,100.00%
274,THB 871.87 - THB 875.07,21,873.38,1.69,20,873.33,84.49,95.24%
275,THB 875.07 - THB 878.26,22,876.93,1.89,22,876.93,85.77,100.00%
276,THB 878.26 - THB 881.45,15,879.81,0.9,15,879.81,59.95,100.00%
277,THB 881.45 - THB 884.65,21,883.04,1.53,20,883.01,76.35,95.24%
278,THB 884.65 - THB 887.84,20,886.34,1.32,20,886.34,65.91,100.00%
279,THB 887.84 - THB 891.03,14,889.51,1.21,13,889.53,93.41,92.86%
280,THB 891.03 - THB 894.23,16,892.79,1.46,15,892.72,97.24,93.75%
281,THB 894.23 - THB 897.42,14,895.78,1.53,14,895.78,109.5,100.00%
282,THB 897.42 - THB 900.62,14,898.89,0.78,14,898.89,55.77,100.00%
283,THB 900.62 - THB 903.81,16,902.07,1.42,16,902.07,89.04,100.00%
284,THB 903.81 - THB 907.00,16,905.08,1.52,16,905.08,95.06,100.00%
285,THB 907.00 - THB 910.20,11,908.77,0.7,11,908.77,63.87,100.00%
286,THB 910.20 - THB 913.39,18,912.14,1.48,18,912.14,82.2,100.00%
287,THB 913.39 - THB 916.58,90,914.96,7.78,88,914.95,88.38,97.78%
288,THB 916.58 - THB 919.78,15,918.15,1.36,15,918.15,90.75,100.00%
289,THB 919.78 - THB 922.97,20,921.59,1.18,20,921.59,58.9,100.00%
290,THB 922.97 - THB 926.16,22,924.71,1.63,22,924.71,74.17,100.00%
291,THB 926.16 - THB 929.36,25,927.99,1.95,25,927.99,78.13,100.00%
292,THB 929.36 - THB 932.55,11,931.19,0.73,10,931.34,73.34,90.91%
293,THB 932.55 - THB 935.75,18,933.81,1.16,17,933.73,68.2,94.44%
294,THB 935.75 - THB 938.94,14,937.55,1.1,14,937.55,78.56,100.00%
295,THB 938.94 - THB 942.13,18,940.31,1.81,18,940.31,100.65,100.00%
