Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
THB 608.19 - THB 611.38,53.00,610.30,3.40,48.00,610.20,70.84,0.91
THB 611.38 - THB 614.56,57.00,613.69,5.14,54.00,613.71,95.22,0.95
THB 614.56 - THB 617.75,58.00,616.54,6.42,54.00,616.51,118.89,0.93
THB 617.75 - THB 620.93,60.00,619.87,5.71,52.00,619.77,109.77,0.87
THB 620.93 - THB 624.12,51.00,623.38,4.94,46.00,623.41,107.39,0.90
THB 624.12 - THB 627.30,53.00,626.23,4.09,52.00,626.19,78.74,0.98
THB 627.30 - THB 630.48,63.00,629.74,6.77,61.00,629.76,110.96,0.97
THB 630.48 - THB 633.67,42.00,632.98,4.36,41.00,632.99,106.35,0.98
THB 633.67 - THB 636.85,46.00,635.76,4.53,42.00,635.75,107.93,0.91
THB 636.85 - THB 640.04,1106.00,637.69,137.65,1020.00,637.67,134.95,0.92
THB 640.04 - THB 643.22,31.00,642.04,3.25,31.00,642.04,105.00,1.00
THB 643.22 - THB 646.41,45.00,645.70,5.84,41.00,645.73,142.36,0.91
THB 646.41 - THB 649.59,45.00,648.81,4.02,41.00,648.77,97.96,0.91
THB 649.59 - THB 652.77,43.00,652.52,4.60,40.00,652.54,115.01,0.93
THB 652.77 - THB 655.96,40.00,655.31,3.22,37.00,655.19,87.10,0.93
THB 655.96 - THB 659.14,41.00,657.75,4.37,38.00,657.82,115.10,0.93
THB 659.14 - THB 662.33,42.00,661.32,5.46,41.00,661.27,133.17,0.98
THB 662.33 - THB 665.51,34.00,664.65,2.75,34.00,664.65,80.97,1.00
THB 665.51 - THB 668.70,30.00,667.96,2.34,30.00,667.96,78.10,1.00
THB 668.70 - THB 671.88,46.00,671.13,4.20,44.00,671.14,95.51,0.96
THB 671.88 - THB 675.06,41.00,674.12,4.66,36.00,674.14,129.34,0.88
THB 675.06 - THB 678.25,38.00,677.35,3.83,37.00,677.38,103.39,0.97
THB 678.25 - THB 681.43,28.00,680.85,2.50,27.00,680.81,92.63,0.96
THB 681.43 - THB 684.62,142.00,683.68,12.60,124.00,683.65,101.59,0.87
THB 684.62 - THB 687.80,35.00,687.53,3.43,31.00,687.44,110.72,0.89
THB 687.80 - THB 690.99,25.00,690.40,2.53,24.00,690.45,105.37,0.96
THB 690.99 - THB 694.17,34.00,693.45,3.84,30.00,693.46,128.07,0.88
THB 694.17 - THB 697.35,31.00,696.58,3.44,29.00,696.55,118.61,0.94
THB 697.35 - THB 700.54,42.00,700.10,5.93,42.00,700.10,141.19,1.00
THB 700.54 - THB 703.72,36.00,703.33,4.30,36.00,703.33,119.37,1.00
THB 703.72 - THB 706.91,41.00,706.15,3.49,40.00,706.12,87.29,0.98
THB 706.91 - THB 710.09,21.00,709.44,2.06,19.00,709.45,108.67,0.90
THB 710.09 - THB 713.28,161.00,712.20,20.25,156.00,712.22,129.84,0.97
THB 713.28 - THB 716.46,27.00,715.85,2.62,26.00,715.85,100.95,0.96
THB 716.46 - THB 719.64,37.00,719.33,2.84,35.00,719.28,81.27,0.95
THB 719.64 - THB 722.83,24.00,722.50,3.69,23.00,722.50,160.34,0.96
THB 722.83 - THB 726.01,27.00,724.99,2.95,26.00,724.95,113.28,0.96
THB 726.01 - THB 729.20,25.00,728.42,2.80,21.00,728.45,133.10,0.84
THB 729.20 - THB 732.38,24.00,731.02,2.76,23.00,731.08,120.13,0.96
THB 732.38 - THB 735.57,20.00,734.23,2.66,20.00,734.23,133.24,1.00
THB 735.57 - THB 738.75,33.00,738.09,2.81,31.00,738.14,90.70,0.94
THB 738.75 - THB 741.93,26.00,741.83,2.42,24.00,741.84,100.70,0.92
THB 741.93 - THB 745.12,29.00,744.82,2.58,29.00,744.82,88.89,1.00
THB 745.12 - THB 748.30,28.00,747.21,2.70,26.00,747.13,103.79,0.93
