Advertisers,Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
Dnata Travel UK Ltd,THB 210.16 - THB 213.35,7.00,213.34,0.40,7.00,213.34,56.43,1.00
Dnata Travel UK Ltd,THB 213.35 - THB 216.53,3.00,214.01,0.19,3.00,214.01,63.79,1.00
21st Century Fox,THB 85.98 - THB 89.16,1.00,86.68,0.00,1.00,86.68,0.00,1.00
21st Century Fox,THB 98.71 - THB 101.90,3.00,99.18,0.13,3.00,99.18,42.59,1.00
21st Century Fox,THB 108.27 - THB 111.45,1.00,108.61,0.00,1.00,108.61,0.00,1.00
21st Century Fox,THB 130.55 - THB 133.74,2.00,132.04,0.13,2.00,132.04,63.76,1.00
21st Century Fox,THB 162.40 - THB 165.58,3.00,165.16,0.13,2.00,165.17,66.17,0.67
21st Century Fox,THB 197.42 - THB 200.61,1.00,198.51,0.06,1.00,198.51,63.69,1.00
21st Century Fox,THB 229.27 - THB 232.45,1.00,230.27,0.06,1.00,230.27,63.72,1.00
21st Century Fox,THB 327.98 - THB 331.16,284.00,329.83,12.70,282.00,329.83,45.05,0.99
AARP,THB 82.79 - THB 85.98,10.00,84.68,0.64,10.00,84.68,63.67,1.00
AARP,THB 101.90 - THB 105.08,28.00,101.95,1.53,26.00,101.94,58.87,0.93
AARP,THB 105.08 - THB 108.27,2.00,108.37,0.13,2.00,108.37,63.90,1.00
AARP,THB 133.74 - THB 136.92,9.00,135.64,0.58,9.00,135.64,64.76,1.00
AARP,THB 257.93 - THB 261.11,2.00,258.35,0.13,2.00,258.35,66.22,1.00
Accor Group,THB 0.00 - THB 3.18,3.00,2.08,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 3.18 - THB 6.37,24.00,4.65,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 9.55 - THB 12.74,2.00,11.58,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 12.74 - THB 15.92,9.00,14.17,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 15.92 - THB 19.11,13.00,17.98,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 19.11 - THB 22.29,14.00,20.81,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 22.29 - THB 25.47,336.00,23.96,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 25.47 - THB 28.66,415.00,26.20,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 28.66 - THB 31.84,637.00,28.97,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 31.84 - THB 35.03,1.00,33.10,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 35.03 - THB 38.21,2.00,36.71,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 38.21 - THB 41.40,1.00,40.50,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 41.40 - THB 44.58,4.00,43.09,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 44.58 - THB 47.76,3.00,46.00,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 47.76 - THB 50.95,2.00,50.57,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 50.95 - THB 54.13,84.00,52.58,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 57.32 - THB 60.50,1.00,57.93,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 60.50 - THB 63.69,1.00,60.94,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 63.69 - THB 66.87,2.00,64.97,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 66.87 - THB 70.05,3.00,68.55,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 70.05 - THB 73.24,10.00,71.97,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 76.42 - THB 79.61,1.00,77.96,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 79.61 - THB 82.79,1.00,79.87,0.06,1.00,79.87,63.90,1.00
Accor Group,THB 82.79 - THB 85.98,1.00,85.14,0.06,1.00,85.14,63.90,1.00
Accor Group,THB 92.34 - THB 95.53,2.00,95.40,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 101.90 - THB 105.08,1.00,103.61,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 105.08 - THB 108.27,229.00,105.22,1.52,22.00,105.14,69.20,0.10
Accor Group,THB 108.27 - THB 111.45,6.00,111.63,0.13,2.00,111.63,63.90,0.33
Accor Group,THB 111.45 - THB 114.63,17.00,111.79,0.59,9.00,111.76,65.70,0.53
Accor Group,THB 121.00 - THB 124.19,1.00,122.90,0.10,1.00,122.90,98.30,1.00
Accor Group,THB 133.74 - THB 136.92,12.00,136.39,0.64,7.00,136.46,91.15,0.58
Accor Group,THB 159.21 - THB 162.40,102.00,159.48,6.74,97.00,159.48,69.48,0.95
Accor Group,THB 318.43 - THB 321.61,7.00,322.12,1.32,7.00,322.12,188.11,1.00
Accor Group,THB 477.64 - THB 480.82,10.00,478.78,1.82,10.00,478.78,181.55,1.00
Ad Counsil,THB 98.71 - THB 101.90,416.00,99.32,22.40,362.00,99.32,61.89,0.87
Adobe Systems,THB 0.00 - THB 3.18,17.00,1.84,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 3.18 - THB 6.37,7.00,4.10,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 12.74 - THB 15.92,3.00,14.64,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 15.92 - THB 19.11,4.00,17.36,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 19.11 - THB 22.29,3.00,20.40,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 22.29 - THB 25.47,2.00,24.12,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 25.47 - THB 28.66,1.00,27.23,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 41.40 - THB 44.58,2.00,42.13,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 44.58 - THB 47.76,1.00,45.44,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 50.95 - THB 54.13,1.00,52.89,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 54.13 - THB 57.32,1.00,55.50,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 95.53 - THB 98.71,1.00,95.69,0.06,1.00,95.69,63.69,1.00
Aerolineas Argentinas,"THB 1,592.13 - THB 1,595.32",2.00,2641.87,2.36,2.00,2641.87,1181.79,1.00
Air France-KLM Group,THB 28.66 - THB 31.84,1.00,29.87,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 44.58 - THB 47.76,1.00,47.63,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 50.95 - THB 54.13,2.00,51.32,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 57.32 - THB 60.50,1.00,58.69,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 60.50 - THB 63.69,1.00,61.47,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 66.87 - THB 70.05,3.00,68.64,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 73.24 - THB 76.42,1.00,74.32,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 76.42 - THB 79.61,2.00,78.18,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 79.61 - THB 82.79,1.00,81.33,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 85.98 - THB 89.16,3.00,87.59,0.20,3.00,87.59,65.55,1.00
Air France-KLM Group,THB 89.16 - THB 92.34,2.00,90.11,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 92.34 - THB 95.53,1.00,94.42,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 95.53 - THB 98.71,1.00,96.48,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 98.71 - THB 101.90,1.00,101.97,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 101.90 - THB 105.08,2.00,104.20,0.06,1.00,104.17,63.89,0.50
Air France-KLM Group,THB 108.27 - THB 111.45,3.00,109.55,0.09,1.00,110.79,88.63,0.33
Air France-KLM Group,THB 111.45 - THB 114.63,1.00,112.61,0.06,1.00,112.61,63.88,1.00
Air France-KLM Group,THB 117.82 - THB 121.00,4.00,118.73,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 121.00 - THB 124.19,1.00,121.77,0.10,1.00,121.77,97.41,1.00
Air France-KLM Group,THB 124.19 - THB 127.37,1.00,127.11,0.06,1.00,127.11,63.88,1.00
Air France-KLM Group,THB 127.37 - THB 130.55,1.00,130.40,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 130.55 - THB 133.74,2.00,132.38,0.11,1.00,133.24,106.61,0.50
Air France-KLM Group,THB 133.74 - THB 136.92,2.00,136.05,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 136.92 - THB 140.11,5.00,138.52,0.26,4.00,138.78,63.78,0.80
Air France-KLM Group,THB 140.11 - THB 143.29,2.00,142.33,0.13,2.00,142.33,63.78,1.00
Air France-KLM Group,THB 143.29 - THB 146.48,4.00,144.92,0.25,4.00,144.92,63.74,1.00
Air France-KLM Group,THB 146.48 - THB 149.66,1.00,147.23,0.09,1.00,147.23,86.62,1.00
Air France-KLM Group,THB 149.66 - THB 152.84,3.00,151.02,0.15,2.00,151.26,73.62,0.67
Air France-KLM Group,THB 152.84 - THB 156.03,1.00,153.58,0.08,1.00,153.58,78.40,1.00
Air France-KLM Group,THB 156.03 - THB 159.21,2.00,158.35,0.10,1.00,158.39,99.35,0.50
Air France-KLM Group,THB 159.21 - THB 162.40,1.00,160.14,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 162.40 - THB 165.58,1.00,165.25,0.07,1.00,165.25,68.73,1.00
Air France-KLM Group,THB 165.58 - THB 168.77,2.00,167.56,0.13,2.00,167.56,63.79,1.00
Air France-KLM Group,THB 168.77 - THB 171.95,4.00,170.01,0.28,4.00,170.01,68.88,1.00
Air France-KLM Group,THB 171.95 - THB 175.13,1.00,174.99,0.10,1.00,174.99,97.60,1.00
Air France-KLM Group,THB 175.13 - THB 178.32,1.00,175.72,0.06,1.00,175.72,63.88,1.00
Air France-KLM Group,THB 178.32 - THB 181.50,5.00,179.74,0.32,5.00,179.74,64.19,1.00
Air France-KLM Group,THB 181.50 - THB 184.69,1.00,184.96,0.06,1.00,184.96,63.89,1.00
Air France-KLM Group,THB 184.69 - THB 187.87,1.00,185.87,0.06,1.00,185.87,63.69,1.00
Air France-KLM Group,THB 187.87 - THB 191.06,1.00,188.46,0.06,1.00,188.46,63.88,1.00
Air France-KLM Group,THB 197.42 - THB 200.61,2.00,200.71,0.06,1.00,200.79,63.88,0.50
Air France-KLM Group,THB 206.98 - THB 210.16,2.00,208.40,0.16,2.00,208.40,80.23,1.00
Air France-KLM Group,THB 210.16 - THB 213.35,6.00,212.18,0.41,6.00,212.18,67.50,1.00
Air France-KLM Group,THB 213.35 - THB 216.53,2.00,215.23,0.09,1.00,214.53,86.62,0.50
Air France-KLM Group,THB 216.53 - THB 219.71,6.00,217.67,0.40,6.00,217.67,66.68,1.00
Air France-KLM Group,THB 219.71 - THB 222.90,1.00,220.06,0.06,1.00,220.06,63.63,1.00
Air France-KLM Group,THB 226.08 - THB 229.27,3.00,227.47,0.27,3.00,227.47,90.86,1.00
Air France-KLM Group,THB 229.27 - THB 232.45,3.00,230.99,0.13,2.00,231.46,63.69,0.67
Air France-KLM Group,THB 232.45 - THB 235.64,1.00,235.81,0.06,1.00,235.81,63.90,1.00
Air France-KLM Group,THB 238.82 - THB 242.00,1.00,240.20,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 242.00 - THB 245.19,1.00,244.98,0.08,1.00,244.98,80.63,1.00
Air France-KLM Group,THB 245.19 - THB 248.37,1.00,247.42,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 248.37 - THB 251.56,2.00,251.10,0.15,2.00,251.10,75.02,1.00
Air France-KLM Group,THB 251.56 - THB 254.74,5.00,253.39,0.42,5.00,253.39,83.41,1.00
Air France-KLM Group,THB 254.74 - THB 257.93,2.00,255.89,0.19,2.00,255.89,94.23,1.00
Air France-KLM Group,THB 257.93 - THB 261.11,1.00,259.21,0.06,1.00,259.21,63.88,1.00
Air France-KLM Group,THB 264.29 - THB 267.48,2.00,265.59,0.22,2.00,265.59,110.26,1.00
Air France-KLM Group,THB 270.66 - THB 273.85,3.00,273.21,0.19,3.00,273.21,63.89,1.00
Air France-KLM Group,THB 273.85 - THB 277.03,6.00,276.15,0.32,6.00,276.15,53.08,1.00
Air France-KLM Group,THB 277.03 - THB 280.22,4.00,278.45,0.28,4.00,278.45,69.46,1.00
Air France-KLM Group,THB 280.22 - THB 283.40,2.00,281.21,0.13,2.00,281.21,63.78,1.00
Air France-KLM Group,THB 283.40 - THB 286.58,1.00,284.29,0.06,1.00,284.29,63.69,1.00
Air France-KLM Group,THB 289.77 - THB 292.95,1.00,291.27,0.06,1.00,291.27,63.90,1.00
Air France-KLM Group,THB 292.95 - THB 296.14,5.00,294.68,0.32,5.00,294.68,64.28,1.00
Air France-KLM Group,THB 296.14 - THB 299.32,6.00,297.83,0.54,6.00,297.83,90.36,1.00
Air France-KLM Group,THB 299.32 - THB 302.51,6.00,301.69,0.76,6.00,301.69,126.67,1.00
Air France-KLM Group,THB 302.51 - THB 305.69,4.00,304.67,0.57,4.00,304.67,142.75,1.00
Air France-KLM Group,THB 305.69 - THB 308.87,4.00,307.01,0.25,4.00,307.01,63.74,1.00
Air France-KLM Group,THB 308.87 - THB 312.06,1.00,311.86,0.09,1.00,311.86,93.88,1.00
Air France-KLM Group,THB 312.06 - THB 315.24,3.00,314.29,0.39,3.00,314.29,129.42,1.00
Air France-KLM Group,THB 315.24 - THB 318.43,4.00,316.70,0.22,4.00,316.70,54.08,1.00
Air France-KLM Group,THB 318.43 - THB 321.61,4.00,320.53,0.26,4.00,320.53,63.79,1.00
Air France-KLM Group,THB 321.61 - THB 324.80,6.00,323.43,0.26,6.00,323.43,42.63,1.00
Air France-KLM Group,THB 324.80 - THB 327.98,2.00,327.06,0.15,2.00,327.06,75.04,1.00
Air France-KLM Group,THB 327.98 - THB 331.16,4.00,330.64,0.27,4.00,330.64,68.62,1.00
Air France-KLM Group,THB 331.16 - THB 334.35,4.00,332.64,0.25,4.00,332.64,63.68,1.00
Air France-KLM Group,THB 334.35 - THB 337.53,4.00,336.35,0.27,4.00,336.35,67.11,1.00
Air France-KLM Group,THB 337.53 - THB 340.72,3.00,339.04,0.21,3.00,339.04,71.31,1.00
Air France-KLM Group,THB 340.72 - THB 343.90,1.00,341.42,0.06,1.00,341.42,63.69,1.00
Air France-KLM Group,THB 343.90 - THB 347.09,5.00,345.44,0.33,5.00,345.44,65.15,1.00
Air France-KLM Group,THB 347.09 - THB 350.27,4.00,348.73,0.26,4.00,348.73,64.33,1.00
Air France-KLM Group,THB 350.27 - THB 353.45,4.00,352.13,0.32,4.00,352.13,80.75,1.00
Air France-KLM Group,THB 353.45 - THB 356.64,1.00,355.21,0.06,1.00,355.21,63.63,1.00
Air France-KLM Group,THB 356.64 - THB 359.82,6.00,359.03,0.27,4.00,358.62,68.10,0.67
Air France-KLM Group,THB 359.82 - THB 363.01,3.00,361.85,0.21,3.00,361.85,70.44,1.00
Air France-KLM Group,THB 363.01 - THB 366.19,4.00,365.43,0.40,4.00,365.43,98.99,1.00
Air France-KLM Group,THB 369.37 - THB 372.56,1.00,371.09,0.06,1.00,371.09,63.88,1.00
Air France-KLM Group,THB 375.74 - THB 378.93,2.00,378.07,0.13,2.00,378.07,63.67,1.00
Air France-KLM Group,THB 378.93 - THB 382.11,2.00,381.04,0.19,2.00,381.04,96.98,1.00
Air France-KLM Group,THB 382.11 - THB 385.30,1.00,381.87,0.06,1.00,381.87,63.63,1.00
Air France-KLM Group,THB 385.30 - THB 388.48,1.00,388.23,0.11,1.00,388.23,105.01,1.00
Air France-KLM Group,THB 391.66 - THB 394.85,2.00,393.70,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 394.85 - THB 398.03,1.00,396.02,0.06,1.00,396.02,63.72,1.00
Air France-KLM Group,THB 398.03 - THB 401.22,2.00,400.08,0.00,0.00,0.00,0.00,0.00
Air France-KLM Group,THB 401.22 - THB 404.40,1.00,403.66,0.06,1.00,403.66,63.63,1.00
Air France-KLM Group,THB 404.40 - THB 407.59,2.00,408.73,0.15,2.00,408.73,73.08,1.00
Air France-KLM Group,THB 410.77 - THB 413.95,1.00,411.39,0.06,1.00,411.39,63.63,1.00
Air France-KLM Group,THB 420.32 - THB 423.51,1.00,421.73,0.06,1.00,421.73,63.63,1.00
Air France-KLM Group,THB 426.69 - THB 429.88,1.00,428.19,0.06,1.00,428.19,63.63,1.00
Air France-KLM Group,THB 429.88 - THB 433.06,1.00,431.42,0.09,1.00,431.42,88.05,1.00
Air France-KLM Group,THB 433.06 - THB 436.24,1.00,434.33,0.06,1.00,434.33,63.69,1.00
Air France-KLM Group,THB 439.43 - THB 442.61,2.00,441.40,0.14,2.00,441.40,68.22,1.00
Air France-KLM Group,THB 461.72 - THB 464.90,1.00,461.79,0.08,1.00,461.79,83.05,1.00
Air France-KLM Group,THB 471.27 - THB 474.46,1.00,472.41,0.06,1.00,472.41,63.63,1.00
Air France-KLM Group,THB 512.67 - THB 515.85,1.00,515.12,0.08,1.00,515.12,77.29,1.00
Air France-KLM Group,THB 531.77 - THB 534.96,1.00,536.22,0.06,1.00,536.22,63.90,1.00
Air France-KLM Group,THB 547.69 - THB 550.88,1.00,548.64,0.09,1.00,548.64,90.99,1.00
Air France-KLM Group,THB 563.62 - THB 566.80,1.00,565.02,0.06,1.00,565.02,63.63,1.00
Air France-KLM Group,THB 585.91 - THB 589.09,1.00,588.23,0.06,1.00,588.23,63.90,1.00
Air France-KLM Group,THB 592.27 - THB 595.46,1.00,593.53,0.00,1.00,593.53,0.00,1.00
Air France-KLM Group,THB 643.22 - THB 646.41,1.00,648.02,0.06,1.00,648.02,63.89,1.00
Air New Zealand,THB 15.92 - THB 19.11,4.00,15.92,0.00,0.00,0.00,0.00,0.00
Air New Zealand,THB 22.29 - THB 25.47,1.00,23.96,0.00,0.00,0.00,0.00,0.00
Alaska Air Group,THB 159.21 - THB 162.40,1.00,159.69,0.06,1.00,159.69,63.88,1.00
Alaska Air Group,THB 382.11 - THB 385.30,2.00,382.69,0.13,2.00,382.69,63.78,1.00
All Nippon Airways,THB 0.00 - THB 3.18,37.00,2.75,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 3.18 - THB 6.37,153.00,4.54,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 6.37 - THB 9.55,45.00,7.75,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 9.55 - THB 12.74,37.00,11.47,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 12.74 - THB 15.92,67.00,14.14,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 15.92 - THB 19.11,65.00,17.28,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 19.11 - THB 22.29,32.00,20.72,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 22.29 - THB 25.47,20.00,23.65,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 25.47 - THB 28.66,6.00,26.33,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 28.66 - THB 31.84,9.00,30.05,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 31.84 - THB 35.03,7.00,33.43,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 35.03 - THB 38.21,3.00,36.12,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 38.21 - THB 41.40,3.00,39.80,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 44.58 - THB 47.76,2.00,47.52,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 47.76 - THB 50.95,1.00,49.71,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 50.95 - THB 54.13,2.00,53.06,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 60.50 - THB 63.69,1.00,62.31,0.00,0.00,0.00,0.00,0.00
All Nippon Airways,THB 70.05 - THB 73.24,2.00,73.05,0.06,1.00,73.05,63.72,0.50
All Nippon Airways,THB 73.24 - THB 76.42,2.00,75.34,0.13,2.00,75.34,63.81,1.00
All Nippon Airways,THB 216.53 - THB 219.71,1.00,216.92,0.06,1.00,216.92,63.72,1.00
Alphabet,THB 15.92 - THB 19.11,2.00,15.93,0.00,0.00,0.00,0.00,0.00
Alphabet,THB 31.84 - THB 35.03,14.00,31.90,0.00,0.00,0.00,0.00,0.00
Alphabet,THB 79.61 - THB 82.79,9.00,79.91,0.45,8.00,79.91,55.75,0.89
Alphabet,THB 127.37 - THB 130.55,5.00,127.41,0.32,5.00,127.41,63.71,1.00
Altice Group,THB 0.00 - THB 3.18,37.00,1.90,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 3.18 - THB 6.37,18.00,4.47,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 6.37 - THB 9.55,15.00,8.14,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 9.55 - THB 12.74,14.00,10.25,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 12.74 - THB 15.92,9.00,14.50,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 15.92 - THB 19.11,16.00,17.41,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 19.11 - THB 22.29,16.00,20.43,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 22.29 - THB 25.47,24.00,23.68,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 25.47 - THB 28.66,33.00,27.38,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 28.66 - THB 31.84,42.00,30.04,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 31.84 - THB 35.03,116.00,33.29,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 35.03 - THB 38.21,98.00,36.99,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 38.21 - THB 41.40,119.00,40.22,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 41.40 - THB 44.58,118.00,43.04,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 44.58 - THB 47.76,151.00,46.86,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 47.76 - THB 50.95,100.00,49.60,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 50.95 - THB 54.13,100.00,52.62,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 54.13 - THB 57.32,57.00,55.88,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 57.32 - THB 60.50,122.00,59.59,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 60.50 - THB 63.69,53.00,62.69,0.00,0.00,0.00,0.00,0.00
Altice Group,THB 63.69 - THB 66.87,42.00,65.01,0.57,10.00,64.66,57.34,0.24
Altice Group,THB 66.87 - THB 70.05,42.00,68.33,1.66,26.00,68.27,63.76,0.62
Altice Group,THB 70.05 - THB 73.24,37.00,71.90,2.11,33.00,71.95,63.79,0.89
Altice Group,THB 73.24 - THB 76.42,19.00,74.75,1.08,17.00,74.77,63.81,0.89
Altice Group,THB 76.42 - THB 79.61,32.00,78.25,1.21,21.00,77.98,57.73,0.66
Altice Group,THB 79.61 - THB 82.79,42.00,80.98,2.55,42.00,80.98,60.78,1.00
Altice Group,THB 82.79 - THB 85.98,30.00,84.55,1.66,29.00,84.57,57.22,0.97
Altice Group,THB 85.98 - THB 89.16,16.00,87.63,0.96,15.00,87.64,63.82,0.94
Altice Group,THB 89.16 - THB 92.34,23.00,91.10,1.21,21.00,91.10,57.71,0.91
Altice Group,THB 92.34 - THB 95.53,11.00,93.86,0.57,10.00,93.97,57.35,0.91
Altice Group,THB 95.53 - THB 98.71,19.00,97.77,1.21,19.00,97.77,63.85,1.00
Altice Group,THB 98.71 - THB 101.90,13.00,100.14,0.77,12.00,100.10,63.82,0.92
Altice Group,THB 101.90 - THB 105.08,7.00,102.93,0.45,7.00,102.93,63.78,1.00
Altice Group,THB 105.08 - THB 108.27,10.00,106.68,0.64,10.00,106.68,63.75,1.00
Altice Group,THB 108.27 - THB 111.45,2.00,110.89,0.13,2.00,110.89,63.81,1.00
Altice Group,THB 111.45 - THB 114.63,4.00,112.71,0.19,3.00,112.38,63.83,0.75
Altice Group,THB 114.63 - THB 117.82,7.00,116.25,0.45,7.00,116.25,63.72,1.00
Altice Group,THB 117.82 - THB 121.00,4.00,118.49,0.25,4.00,118.49,63.69,1.00
Altice Group,THB 121.00 - THB 124.19,11.00,123.32,0.51,11.00,123.32,46.37,1.00
Altice Group,THB 124.19 - THB 127.37,2.00,126.98,0.13,2.00,126.98,63.67,1.00
Altice Group,THB 127.37 - THB 130.55,4.00,128.64,0.25,4.00,128.64,63.72,1.00
Altice Group,THB 130.55 - THB 133.74,3.00,132.45,0.19,3.00,132.45,63.81,1.00
Altice Group,THB 133.74 - THB 136.92,6.00,135.61,0.32,5.00,135.54,63.73,0.83
Altice Group,THB 136.92 - THB 140.11,1.00,138.36,0.06,1.00,138.36,63.63,1.00
Altice Group,THB 140.11 - THB 143.29,1.00,141.83,0.06,1.00,141.83,63.72,1.00
Altice Group,THB 143.29 - THB 146.48,3.00,143.91,0.19,3.00,143.91,63.69,1.00
Altice Group,THB 149.66 - THB 152.84,2.00,151.43,0.13,2.00,151.43,63.67,1.00
Altice Group,THB 152.84 - THB 156.03,1.00,154.70,0.06,1.00,154.70,63.72,1.00
Altice Group,THB 156.03 - THB 159.21,1.00,156.94,0.06,1.00,156.94,63.63,1.00
Altice Group,THB 162.40 - THB 165.58,2.00,163.99,0.13,2.00,163.99,63.76,1.00
Altice Group,THB 165.58 - THB 168.77,2.00,167.44,0.13,2.00,167.44,63.72,1.00
Altice Group,THB 168.77 - THB 171.95,2.00,170.59,0.13,2.00,170.59,63.63,1.00
Altice Group,THB 171.95 - THB 175.13,2.00,173.39,0.13,2.00,173.39,63.81,1.00
Altice Group,THB 178.32 - THB 181.50,1.00,181.05,0.06,1.00,181.05,63.72,1.00
Altice Group,THB 181.50 - THB 184.69,1.00,182.96,0.06,1.00,182.96,63.63,1.00
Altice Group,THB 184.69 - THB 187.87,1.00,185.32,0.06,1.00,185.32,63.72,1.00
Altice Group,THB 200.61 - THB 203.79,2.00,202.68,0.13,2.00,202.68,63.76,1.00
Altice Group,THB 206.98 - THB 210.16,2.00,209.26,0.13,2.00,209.26,63.90,1.00
Altice Group,THB 343.90 - THB 347.09,1.00,346.04,0.06,1.00,346.04,63.63,1.00
Altice Group,THB 347.09 - THB 350.27,1.00,350.05,0.06,1.00,350.05,63.90,1.00
Altice Group,THB 410.77 - THB 413.95,1.00,411.23,0.06,1.00,411.23,63.63,1.00
Amazon Corp,THB 0.00 - THB 3.18,11.00,0.38,0.00,0.00,0.00,0.00,0.00
Amazon Corp,THB 254.74 - THB 257.93,1.00,254.74,0.06,1.00,254.74,63.69,1.00
Banggood,THB 89.16 - THB 92.34,1.00,91.80,0.06,1.00,91.80,63.69,1.00
Bank of Ireland,THB 44.58 - THB 47.76,1.00,46.29,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 0.00 - THB 3.18,255.00,1.99,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 3.18 - THB 6.37,11258.00,3.19,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 6.37 - THB 9.55,682.00,7.94,0.00,0.00,0.00,0.00,0.00
